City_EN,Prov_EN,T_C_0115,T_C_0116,T_C_0117,T_C_0118,T_C_0119,T_C_0120,T_C_0121,T_C_0122,T_C_0123,T_C_0124,T_C_0125,T_C_0126,T_C_0127,T_C_0128,T_C_0129,T_C_0130,T_C_0131,T_C_0201,T_C_0202,T_C_0203,T_C_0204,T_C_0205,T_C_0206,T_C_0207,T_C_0208,T_C_0209,T_C_0210,T_C_0211,T_C_0212,T_C_0213,T_C_0214,T_C_0215,T_C_0216,T_C_0217,T_C_0218,T_C_0219,T_C_0220,T_C_0221,T_C_0222,T_C_0223,T_C_0224,T_C_0225,T_C_0226,T_C_0227,T_C_0228,T_C_0229,T_C_0301,T_C_0302,T_C_0303,T_C_0304,T_C_0305,T_C_0306,T_C_0307,T_C_0308,T_C_0309,T_C_0310,T_C_0311,T_C_0312,T_C_0313,T_C_0314,T_C_0315,T_C_0316,T_C_0317,T_C_0318,T_C_0319,T_C_0320,T_C_0321,T_C_0322,T_C_0323,T_C_0324,T_C_0325,T_C_0326,T_C_0327,T_C_0328,T_C_0329,T_C_0330,T_C_0331,T_C_0401,T_C_0402,T_C_0403,T_C_0404,T_C_0405,T_C_0406,T_C_0407,T_C_0408,T_C_0409,T_C_0410,T_C_0411,T_C_0412,T_C_0413,T_C_0414,T_C_0415,T_C_0416,T_C_0417,T_C_0418,T_C_0419,T_C_0420,T_C_0421,T_C_0422,T_C_0423,T_C_0424,T_C_0425,T_C_0426,T_C_0427,T_C_0428,T_C_0429,T_C_0430,T_C_0501,T_C_0502,T_C_0503,T_C_0504,T_C_0505,T_C_0506,T_C_0507,T_C_0508,T_C_0509,T_C_0510,T_C_0511,T_C_0512,T_C_0513,T_C_0514,T_C_0515,T_C_0516,T_C_0517,T_C_0518,T_C_0519,T_C_0520,T_C_0521,T_C_0522,T_C_0523,T_C_0524,T_C_0525,T_C_0526,T_C_0527,T_C_0528,T_C_0529,T_C_0530,T_C_0531,T_C_0601,T_C_0602,T_C_0603,T_C_0604,T_C_0605,T_C_0606,T_C_0607,T_C_0608,T_C_0609,T_C_0610,T_C_0611,T_C_0612,T_C_0613,T_C_0614,T_C_0615,T_C_0616,T_C_0617,T_C_0618,T_C_0619,T_C_0620,T_C_0621,T_C_0622,T_C_0623,T_C_0624,T_C_0625,T_C_0626,T_C_0627,T_C_0628,T_C_0629,T_C_0630,T_C_0701,T_C_0702,T_C_0703,T_C_0704,T_C_0705,T_C_0706,T_C_0707,T_C_0708,T_C_0709,T_C_0710,T_C_0711,T_C_0712,T_C_0713,T_C_0714,T_C_0715,T_C_0716,T_C_0717,T_C_0718,T_C_0719,T_C_0720,T_C_0721,T_C_0722,T_C_0723,T_C_0724,T_C_0725,T_C_0726,T_C_0727,T_C_0728,T_C_0729,T_C_0730,T_C_0731,T_C_0801,T_C_0802,T_C_0803,T_C_0804,T_C_0805,T_C_0806,T_C_0807,T_C_0808,T_C_0809,T_C_0810,T_C_0811,T_C_0812,T_C_0813,T_C_0814,T_C_0815,T_C_0816
Tianjin,Tianjin,0,0,0,0,0,0,2,4,5,8,10,14,23,24,27,31,32,41,47,59,65,66,77,78,83,86,85,94,99,95,85,82,76,76,77,73,69,68,67,51,45,41,36,31,28,24,22,15,9,5,5,5,5,4,3,2,1,1,1,1,0,0,0,0,1,1,1,1,5,9,11,16,20,27,30,38,36,38,34,37,33,33,26,25,26,25,22,19,20,17,14,11,11,13,13,12,12,10,8,8,8,5,5,5,4,4,3,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,2,3,3,4,4,4,4,3,3,3,3,3,4,3,3,3,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,6,6,6,6,5,5,5,3,2,1,0,0,0,0,2,2
Haerbin,Heilongjiang,0,0,0,0,0,0,0,0,1,6,8,8,10,11,13,18,25,34,43,61,69,76,88,91,105,119,131,135,143,146,145,149,153,155,143,143,139,118,117,118,118,118,118,110,100,100,69,54,54,48,46,46,28,26,21,16,15,12,8,8,6,6,5,4,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,11,11,19,23,26,32,36,39,45,52,55,57,58,60,61,64,63,63,63,63,50,50,43,38,29,22,14,7,7,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nanjing,Jiangsu,0,0,0,0,0,0,0,0,3,4,7,7,10,14,19,25,26,33,38,42,43,41,44,50,51,56,62,65,66,65,64,63,60,60,58,55,46,41,41,41,36,36,35,35,35,35,30,25,19,13,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xuzhou,Jiangsu,0,0,0,0,0,0,0,0,0,0,0,3,8,8,15,20,23,30,36,39,45,42,46,49,53,52,53,56,55,59,57,55,51,37,37,28,24,21,16,13,12,12,10,8,8,8,8,8,8,6,6,6,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzhou,Jiangsu,0,0,0,0,0,0,0,1,2,2,6,7,11,19,23,30,32,36,41,49,53,56,65,68,71,66,67,71,69,68,69,60,60,56,56,54,49,45,38,37,30,30,28,28,25,25,23,23,20,18,17,12,9,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huaiyin,Jiangsu,0,0,0,0,0,0,0,0,0,0,1,2,2,3,7,10,12,12,17,21,25,33,35,38,42,41,41,41,45,50,49,50,44,38,38,34,32,32,29,26,20,20,16,16,11,11,9,9,8,4,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hangzhou,Zhejiang,0,0,0,0,0,0,1,1,6,12,27,27,32,51,69,85,69,108,116,126,134,136,140,140,136,114,110,108,99,96,93,91,87,74,70,61,58,58,48,46,38,32,30,20,18,10,5,4,11,11,7,6,6,6,3,3,2,3,2,2,3,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ningbo,Zhejiang,0,0,0,0,0,0,0,3,5,6,13,13,17,20,41,46,41,65,74,101,116,120,127,129,133,134,133,129,122,118,108,102,94,88,83,65,56,54,51,47,43,34,35,21,17,11,9,8,6,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wenzhou,Zhejiang,0,0,0,0,0,0,2,4,0,9,17,31,59,111,169,220,169,255,276,323,336,368,385,389,378,386,375,374,370,356,340,333,321,310,296,276,258,235,223,211,197,186,149,119,98,71,56,47,43,25,21,16,16,14,10,4,4,2,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taizhou,Zhejiang,0,0,0,0,0,0,1,1,4,20,21,22,22,40,64,81,64,96,102,104,111,110,115,116,113,114,108,105,98,95,92,86,83,82,77,72,69,62,54,48,48,48,45,43,40,39,38,34,26,19,17,16,12,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hefei,Anhui,0,0,0,0,0,0,0,1,6,10,13,13,16,29,38,49,58,57,73,76,88,99,108,119,125,136,134,134,132,130,129,125,126,123,101,97,87,76,76,72,54,52,46,38,35,32,29,22,19,16,15,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bengbu,Anhui,0,0,0,0,0,0,0,0,1,1,1,3,3,3,8,15,16,26,37,43,48,64,88,98,113,122,129,136,140,141,141,143,142,134,124,115,99,99,74,54,42,42,36,28,19,14,11,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anqing,Anhui,0,0,0,0,0,0,0,0,1,4,5,8,8,14,18,18,37,43,47,55,53,57,63,65,69,66,65,65,65,52,50,49,49,49,44,39,30,28,22,18,14,14,9,4,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuyang,Anhui,0,0,0,0,0,0,0,0,2,7,10,10,21,23,28,38,47,59,65,79,81,92,98,104,107,112,119,121,125,123,122,120,120,113,108,91,76,65,56,53,51,46,43,43,27,27,21,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liuan,Anhui,0,0,0,0,0,0,0,0,2,2,3,3,4,6,8,8,12,12,19,29,33,35,40,50,52,55,56,56,57,58,55,50,52,47,46,39,34,34,30,26,24,24,23,21,16,14,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bozhou,Anhui,0,0,0,0,0,0,0,0,1,4,6,6,8,15,19,19,24,28,37,46,56,64,67,76,82,87,85,90,88,90,88,73,73,73,61,50,43,38,35,28,27,21,19,9,9,8,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuzhou,Fujian,0,0,0,0,0,0,0,1,1,5,6,13,18,24,30,32,39,44,47,53,55,56,57,50,49,53,51,51,49,51,48,48,46,45,43,38,35,24,21,17,14,9,5,4,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Putian,Fujian,0,0,0,0,0,0,0,0,0,0,0,1,10,14,17,22,25,27,34,37,38,42,44,43,46,50,49,46,46,46,45,43,38,38,38,36,33,33,31,31,25,25,24,20,20,20,17,17,15,10,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nanchang,Jiangxi,0,0,0,0,0,0,0,1,2,3,4,8,17,25,46,66,82,88,99,117,127,139,148,148,152,154,149,151,149,149,150,152,139,134,116,96,84,84,67,51,48,45,42,36,32,28,23,18,14,12,11,8,7,5,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jiujiang,Jiangxi,0,0,0,0,0,0,0,0,1,2,2,4,9,16,31,42,43,55,62,76,84,89,91,92,94,94,88,91,95,98,97,95,95,88,85,74,71,71,71,67,61,56,47,38,27,24,24,21,20,17,10,8,6,6,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xinyu,Jiangxi,0,0,0,0,0,0,0,0,1,1,1,3,3,10,10,26,38,40,47,56,65,73,82,87,87,87,88,91,93,93,93,92,85,83,71,62,50,50,43,35,27,21,19,15,12,10,10,9,8,7,7,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ganzhou,Jiangxi,0,0,0,0,0,0,0,0,0,2,7,7,10,16,21,27,29,33,34,41,47,50,57,62,67,64,64,63,65,63,61,58,57,55,51,47,41,41,35,28,26,22,18,14,12,5,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yichun,Jiangxi,0,0,0,0,0,0,0,0,0,1,5,6,10,14,14,26,28,30,35,43,44,50,57,62,68,67,73,72,79,83,82,84,82,76,73,64,53,53,48,34,30,22,16,11,10,10,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuzhou,Jiangxi,0,0,0,0,0,0,1,1,1,4,6,7,8,9,13,15,18,24,29,34,43,41,49,52,56,55,58,57,55,57,55,52,50,44,43,37,35,35,26,25,21,20,14,11,11,9,7,7,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shangrao,Jiangxi,0,0,0,0,0,0,0,0,0,2,6,6,7,9,11,11,15,18,28,46,64,73,81,87,91,91,98,101,102,104,103,92,88,84,76,68,59,59,48,35,33,26,22,22,14,12,12,7,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
